,open,close,high,close,volume
2017-08-25,30.75,31.40,32.20,30.45,2114266
2017-08-28,31.80,33.95,34.40,31.65,2889956
2017-08-29,33.50,30.60,33.50,30.60,2549174
2017-08-30,29.30,28.80,30.60,28.00,4165953
2017-08-31,29.25,28.95,30.00,28.75,1876550
2017-09-01,29.10,29.30,29.70,28.80,1082583
2017-09-04,29.50,30.30,31.20,29.50,2194390
2017-09-05,30.25,28.75,30.45,28.40,2497105
2017-09-06,28.35,28.80,29.40,28.30,1039100
2017-09-07,28.95,29.30,30.25,28.95,1296598
2017-09-08,29.90,32.20,32.20,29.45,4420087
2017-09-11,35.10,35.40,35.40,33.80,4940029
2017-09-12,35.40,33.40,35.60,31.90,6078993
2017-09-13,34.00,33.95,36.45,33.70,6857507
2017-09-14,33.65,34.50,35.65,32.65,3054096
2017-09-15,35.05,35.80,36.70,34.30,5103700
2017-09-18,36.80,36.70,38.60,35.60,5991776
2017-09-19,36.80,36.50,37.65,36.10,2536890
2017-09-20,37.00,38.50,38.50,36.70,3934495
2017-09-21,39.15,38.05,39.80,38.05,2938865
2017-09-22,38.15,36.30,38.80,36.20,2755910
2017-09-25,36.10,34.25,36.95,34.25,2547610
2017-09-26,35.00,33.90,35.60,33.50,1542800
2017-09-27,34.60,35.80,36.80,34.40,2706486
2017-09-28,35.75,35.10,36.60,35.10,1481317
2017-09-29,35.30,35.90,36.00,34.50,1428645
2017-09-30,36.40,39.45,39.45,36.20,4062855
2017-10-02,41.00,39.90,41.80,39.20,9516420
2017-10-03,39.95,41.50,41.65,39.90,5535353
2017-10-05,43.00,43.55,45.00,42.00,6169342
2017-10-06,43.70,42.80,45.20,42.45,3936901
2017-10-11,44.50,43.35,44.60,42.50,2468326
2017-10-12,44.15,41.35,44.15,40.50,4250357
2017-10-13,43.10,41.20,43.10,40.90,1891119
2017-10-16,41.60,40.80,41.95,40.50,1868814
2017-10-17,40.55,40.30,42.20,40.30,2153771
2017-10-18,40.95,41.85,41.85,40.20,1929975
2017-10-19,42.40,44.15,45.80,42.30,6986806
2017-10-20,44.10,43.65,45.55,43.30,3301784
2017-10-23,44.50,44.40,45.40,44.15,3256401
2017-10-24,44.90,44.90,45.70,44.60,1739811
2017-10-26,46.55,46.95,48.80,46.55,3731364
2017-10-27,47.65,45.00,48.45,44.50,3940309
2017-10-30,45.90,46.70,46.70,44.50,1946470
2017-10-31,47.00,46.65,47.50,46.10,859921
2017-11-01,47.50,48.30,48.30,47.00,1090678
2017-11-02,48.70,48.15,48.70,47.60,840861
2017-11-03,48.00,50.50,50.50,47.55,892505
2017-11-06,51.20,51.70,52.50,50.10,1118350
2017-11-07,52.30,54.00,54.00,51.50,955152
2017-11-08,48.60,48.60,48.70,48.60,2658812
2017-11-09,48.60,45.25,49.15,43.75,2965797
2017-11-10,45.00,48.30,48.30,43.80,1926358
2017-11-13,46.60,44.05,47.30,44.00,1571737
2017-11-14,45.10,44.00,46.50,43.00,2450063
2017-11-15,43.30,46.30,47.80,43.20,1973192
2017-11-16,47.00,45.90,47.45,45.90,1428028
2017-11-17,45.60,45.40,46.10,45.00,1198878
2017-11-20,45.80,45.20,46.80,45.10,1086544
2017-11-21,45.90,46.20,46.45,45.50,937151
2017-11-22,47.10,46.20,47.30,46.00,1082438
2017-11-23,46.20,45.65,46.30,44.70,1156449
2017-11-24,46.30,45.45,46.30,45.45,545301
2017-11-27,45.10,44.40,45.35,44.35,907020
2017-11-28,44.40,44.80,44.95,43.75,769142
2017-11-29,45.60,45.30,45.80,44.55,498872
2017-11-30,45.30,45.00,45.80,44.80,584400
2017-12-01,45.00,44.60,45.55,44.05,374622
2017-12-04,44.40,44.60,44.90,43.20,572582
2017-12-05,44.60,44.70,44.90,43.50,420813
2017-12-06,44.55,44.10,44.70,43.20,868501
2017-12-07,44.80,47.05,48.20,43.80,1603361
2017-12-08,47.75,46.40,48.80,46.00,1498619
2017-12-11,46.50,48.00,50.50,46.50,2305925
2017-12-12,48.80,47.70,50.00,47.70,1635458
2017-12-13,48.20,49.15,49.70,47.70,1300145
2017-12-14,50.10,49.40,51.10,49.20,1605759
2017-12-15,49.40,50.00,50.80,49.20,821403
2017-12-18,50.90,50.40,50.90,49.95,782404
2017-12-19,51.10,52.00,53.80,50.70,2270711
2017-12-20,53.00,54.90,54.90,52.40,2901518
2017-12-21,55.20,59.90,60.30,55.00,5154242
2017-12-22,59.40,59.70,62.00,58.80,3217757
2017-12-25,61.00,63.20,63.80,59.00,2425071
2017-12-26,63.50,65.30,66.20,62.60,3148829
2017-12-27,64.20,67.50,67.50,64.00,1907315
2017-12-28,68.80,71.40,73.80,68.00,3403620
2017-12-29,71.10,64.30,72.50,64.30,5841078
2018-01-02,64.30,66.50,66.50,62.70,2537364
2018-01-03,67.50,69.20,71.50,67.00,2261513
2018-01-04,69.00,71.90,73.40,67.90,2292179
2018-01-05,72.20,76.50,77.60,71.40,3314258
2018-01-08,77.50,83.50,83.50,77.50,3543082
2018-01-09,75.20,75.20,75.20,75.20,783482
2018-01-10,74.50,80.00,81.50,73.70,4549968
